NBS 2.0;DESCRIÇÃO
1.0401.19.00;Serviços de transporte terrestre local de passageiros não classificados em subposições anteriores
1.0401.2;Serviços de transporte aquaviário local de passageiros
1.0401.21;Serviços de transporte aquaviário local de passageiros, por navegação interior
1.0401.21.10;Serviços de transporte aquaviário local de passageiros, por navegação interior, em embarcações para travessia
1.0401.21.20;Serviços de transporte aquaviário local de passageiros, por navegação interior, em embarcações para cruzeiros
1.0401.21.90;Serviços de transporte aquaviário local de passageiros, por navegação interior não classificados em itens anteriores
1.0401.22.00;Serviços de transporte aquaviário local de passageiros por fretamento 
1.0401.23.00;Serviços de transporte aquaviário para passeios turísticos (sightseeing)
1.0401.29.00;Serviços de transporte aquaviário local de passageiros não classificados em subposições anteriores
1.0401.30.00;Serviços de transporte integrado local de passageiros
1.0401.4;Serviços de transporte aéreo local de passageiros
1.0401.41.00;Serviços de táxi aéreo local
1.0401.42.00;Serviços de transporte aéreo local de passageiros por fretamento
1.0401.43.00;Serviços de transporte aéreo para passeios turísticos (sightseeing)
1.0401.49.00;Serviços de transporte aéreo local de passageiros não classificados em subposições anteriores
1.0401.90.00;Serviços de transporte local de passageiros não classificados não classificados em subposições anteriores
1.0402;Serviços de transporte nacional, exceto local, de passageiros
1.0402.1;Serviços de transporte terrestre nacional, exceto local, de passageiros
1.0402.11;Serviços de transporte rodoviário nacional, exceto local, regular de passageiros
1.0402.11.10;Serviços de transporte rodoviário nacional, exceto local, prestados exclusivamente por meio de ônibus
1.0402.11.90;Serviços de transporte rodoviário nacional, exceto local, de passageiros, não classificados não classificados em subitens anteriores
1.0402.12.00;Serviços especiais de transporte rodoviário nacional, exceto local, regular de passageiros
1.0402.13;Serviços de transporte rodoviário nacional, exceto local, de passageiros, por fretamento
1.0402.13.10;Serviços de fretamento contínuo, nacional, exceto local
1.0402.13.20;Serviços de fretamento eventual ou turístico, nacional, exceto local
1.0402.14.00;Serviços de transporte ferroviário nacional, exceto local, de passageiros
1.0402.19.00;Serviços de transporte terrestre nacional, exceto local, de passageiros não classificados não classificados em subposições anteriores
1.0402.2;Serviços de transporte aquaviário nacional, exceto local, de passageiros
1.0402.21;Serviços de transporte aquaviário nacional, exceto local, de passageiros, por navegação interior
1.0402.21.10;Serviços de transporte aquaviário de passageiros, por navegação interior, em embarcações para travessia
1.0402.21.20;Serviços de transporte aquaviário de passageiros, por navegação interior, em embarcações para cruzeiros
1.0402.21.90;Serviços de transporte aquaviário nacional, exceto local, de passageiros, por navegação interior não classificados em itens anteriores
1.0402.22.00;Serviços de transporte aquaviário nacional costeiro de passageiros
1.0402.23.00;Serviços de transporte aquaviário nacional, exceto local, de passageiros por fretamento
1.0402.29.00;Serviços de transporte aquaviário nacional, exceto local, de passageiros não classificados em subposições anteriores
1.0402.3;Serviços de transporte aéreo nacional, exceto local, de passageiros
1.0402.31.00;Serviços de transporte aéreo nacional, exceto local, regular de passageiros
1.0402.32.00;Serviços de táxi aéreo nacional, exceto local
1.0402.33.00;Serviços de transporte aéreo nacional, exceto local, de passageiros, por fretamento
1.0402.39.00;Serviços de transporte aéreo nacional, exceto local, de passageiros não classificados em subposições anteriores
1.0402.90.00;Serviços de transporte nacional, exceto local, de passageiros não classificados em subposições anteriores
1.0403;Serviços de transporte internacional de passageiros
1.0403.1;Serviços regulares de transporte terrestre internacional de passageiros
1.0403.11;Serviços de transporte rodoviário internacional regular de passageiros
1.0403.11.10;Serviços de transporte de passageiros prestados exclusivamente por meio de ônibus
1.0403.11.90;Serviços de transporte rodoviário internacional de passageiros não classificados em itens anteriores
1.0403.12.00;Serviços de transporte rodoviário internacional de passageiros por fretamento
1.0403.13;Serviços de transporte internacional de passageiros por veículos sobre trilhos
1.0403.13.10;Serviços de transporte internacional ferroviário de passageiros
1.0403.13.90;Serviços de transporte internacional de passageiros por veículos sobre trilhos não classificados em itens anteriores
1.0403.19.00;Serviços de transporte terrestre internacional de passageiros não classificados em subposições anteriores
1.0403.2;Serviços de transporte aquaviário internacional de passageiros
1.0403.21;Serviços de transporte aquaviário internacional de passageiros, por navegação interior
1.0403.21.10;Serviços de transporte aquaviário internacional de passageiros, por navegação interior, em embarcações para travessia
1.0403.21.20;Serviços de transporte aquaviário internacional de passageiros, por navegação interior, em embarcações para cruzeiros
1.0403.21.90;Serviços de transporte aquaviário internacional de passageiros, por navegação interior não classificados em itens anteriores
1.0403.22.00;Serviços de transporte aquaviário internacional costeiro de passageiros
1.0403.23.00;Serviços de transporte aquaviário internacional transoceânico de passageiros
1.0403.24.00;Serviços de transporte aquaviário internacional de passageiros por fretamento
1.0403.29.00;Serviços de transporte aquaviário internacional de passageiros não classificados em subposições anteriores
1.0403.3;Serviços de transporte aéreo internacional de passageiros
1.0403.31.00;Serviços de transporte aéreo internacional regular de passageiros
1.0403.32.00;Serviços de táxi aéreo internacional
1.0403.33.00;Serviços de transporte aéreo internacional de passageiros por fretamento
1.0403.39.00;Serviços de transporte aéreo internacional de passageiros não classificados em subposições anteriores
1.0403.90.00;Serviços de transporte internacional de passageiros não classificados em subposições anteriores
1.0404;Locação de veículos de passageiros com operador
1.0404.10.00;Locação de veículos rodoviários de passageiros com motorista
1.0404.20.00;Locação de embarcações de passageiros com tripulação
1.0404.30.00;Locação de aeronaves de passageiros com tripulação
1.0405.00.00;Afretamento de embarcações de passageiros por tempo
1.05;Serviços de transporte de cargas
1.0501;Serviços de transporte terrestre de cargas
1.0501.1;Serviços de transporte rodoviário de cargas
1.0501.11;Serviços de transporte rodoviário de cargas a granel
1.0501.11.10;Serviços de transporte rodoviário de cargas sólidas a granel
1.0501.11.20;Serviços de transporte rodoviário de cargas líquidas, ou liquefeitas, a granel
1.0501.11.30;Serviços de transporte rodoviário de cargas gasosas a granel
1.0501.12;Serviços de transporte rodoviário de carga geral, exceto em contêineres
1.0501.12.10;Serviços de transporte rodoviário de carga solta, não unitizada
1.0501.12.20;Serviços de transporte rodoviário de carga unitizada
1.0501.12.30;Serviços de transporte rodoviário de carga frigorificada ou climatizada
1.0501.13;Serviços de transporte rodoviário de cargas em contêineres
1.0501.13.10;Serviços de transporte rodoviário de cargas em contêineres frigorificados ou climatizados
1.0501.13.20;Serviços de transporte rodoviário de cargas em contêineres não frigorificados ou climatizados
1.0501.14;Serviços de transporte rodoviário de cargas especiais
1.0501.14.10;Serviços de transporte rodoviário de cargas vivas
1.0501.14.20;Serviços de transporte rodoviário de mudanças domésticas e de mobília e outros objetos de escritório
1.0501.14.30;Serviços de transporte rodoviário de cargas de grande porte
1.0501.14.40;Serviços de transporte rodoviário de veículos
1.0501.14.5;Serviços de transporte rodoviário de produtos perigosos
1.0501.14.51;Serviços de transporte rodoviário de combustíveis, lubrificantes e GLP, inclusive apresentados em botijões metálicos
1.0501.14.52;Serviços de transporte rodoviário de produtos químicos perigosos, exceto lubrificantes e GLP
1.0501.14.59;Serviços de transporte rodoviário de produtos perigosos não classificados em subitens anteriores
1.0501.15.00;Serviços de transporte rodoviário de cargas postais e malotes
1.0501.19.00;Serviços de transporte rodoviário de cargas não classificados em subposições anteriores
1.0501.2;Serviços de transporte ferroviário de cargas
1.0501.21;Serviços de transporte ferroviário de cargas a granel
1.0501.21.10;Serviços de transporte ferroviário de cargas sólidas a granel
1.0501.21.20;Serviços de transporte ferroviário de cargas líquidas, ou liquefeitas, a granel
1.0501.21.30;Serviços de transporte ferroviário de cargas gasosas a granel
1.0501.22;Serviços de transporte ferroviário de cargas geral, exceto em contêineres
1.0501.22.10;Serviços de transporte ferroviário de carga solta, não unitizada
1.0501.22.20;Serviços de transporte ferroviário de carga unitizada
1.0501.22.30;Serviços de transporte ferroviário de carga frigorificada ou climatizada
1.0501.23;Serviços de transporte ferroviário de cargas em contêineres
1.0501.23.10;Serviços de transporte ferroviário de cargas em contêineres frigorificados ou climatizados
1.0501.23.20;Serviços de transporte ferroviário de cargas em contêineres não frigorificados ou climatizados
1.0501.24;Serviços de transporte ferroviário de cargas especiais
1.0501.24.10;Serviços de transporte ferroviário de cargas vivas
1.0501.24.2;Serviços de transporte ferroviário de produtos perigosos
1.0501.24.21;Serviços de transporte ferroviário de combustíveis, lubrificantes e GLP, inclusive apresentados em botijões metálicos
1.0501.24.22;Serviços de transporte ferroviário de produtos químicos perigosos, exceto lubrificantes e GLP
1.0501.24.29;Serviços de transporte ferroviário de produtos perigosos não classificados em subposições anteriores
1.0501.25.00;Serviços de transporte ferroviário de bens e valores
1.0501.29.00;Serviços de transporte ferroviário de cargas não classificados em subposições anteriores
1.0501.3;Serviços de transporte de cargas por meio de dutos
1.0501.31.00;Serviços de transporte de petróleo, gás natural e combustível por meio de dutos
1.0501.32.00;Serviços de transporte de minérios por meio de dutos
1.0501.39.00;Serviços de transporte de cargas por meio de dutos não classificados em subposições anteriores
1.0502;Serviços de transporte aquaviário de cargas
1.0502.1;Serviços de transporte aquaviário por navegação interior de cargas
1.0502.11;Serviços de transporte aquaviário por navegação interior de cargas a granel
1.0502.11.10;Serviços de transporte aquaviário por navegação interior de cargas sólidas, a granel
1.0502.11.20;Serviços de transporte aquaviário por navegação interior de cargas líquidas, ou liquefeitas, a granel
1.0502.11.30;Serviços de transporte aquaviário por navegação interior de cargas gasosas a granel
1.0502.12;Serviços de transporte aquaviário por navegação interior de carga geral, exceto em contêineres
1.0502.12.10;Serviços de transporte aquaviário por navegação interior de carga solta, não unitizada
1.0502.12.20;Serviços de transporte aquaviário por navegação interior de carga unitizada
1.0502.12.30;Serviços de transporte aquaviário por navegação interior de carga frigorificada ou climatizada
1.0502.13;Serviços de transporte aquaviário por navegação interior de cargas em contêineres
1.0502.13.10;Serviços de transporte aquaviário por navegação interior de cargas em contêineres frigorificados ou climatizados
1.0502.13.20;Serviços de transporte aquaviário por navegação interior de cargas em contêineres não frigorificados ou climatizados
1.0502.14;Serviços de transporte aquaviário por navegação interior de cargas especiais
1.0502.14.10;Serviços de transporte aquaviário por navegação interior de cargas vivas
1.0502.14.20;Serviços de transporte aquaviário por navegação interior de mudanças domésticas e de mobília e outros objetos de escritório
1.0502.14.30;Serviços de transporte aquaviário por navegação interior de cargas de grande porte
1.0502.14.40;Serviços de transporte aquaviário por navegação interior de veículos
1.0502.14.5;Serviços de transporte aquaviário por navegação interior de produtos perigosos
1.0502.14.51;Serviços de transporte aquaviário por navegação interior de combustíveis, lubrificantes e GLP, inclusive apresentado em botijões metálicos
1.0502.14.52;Serviços de transporte aquaviário por navegação interior de produtos químicos perigosos, exceto lubrificantes e GLP
1.0502.14.59;Serviços de transporte aquaviário por navegação interior de produtos perigosos não classificados em subposições anteriores
1.0502.14.90;Serviços de transporte aquaviário por navegação interior de cargas especiais não classificados em subposições anteriores
1.0502.19.00;Serviços de transporte aquaviário por navegação interior de cargas não classificados em subposições anteriores
1.0502.2;Serviços de transporte aquaviário costeiro de cargas
1.0502.21;Serviços de transporte aquaviário costeiro de cargas a granel
1.0502.21.10;Serviços de transporte aquaviário costeiro de cargas sólidas a granel
1.0502.21.20;Serviços de transporte aquaviário costeiro de cargas líquidas ou liquefeitas, a granel
1.0502.21.30;Serviços de transporte aquaviário costeiro de cargas gasosas a granel
1.0502.22;Serviços de transporte aquaviário costeiro de cargas em geral, exceto em contêineres
1.0502.22.10;Serviços de transporte aquaviário costeiro de carga solta, não unitizada
1.0502.22.20;Serviços de transporte aquaviário costeiro de carga unitizada
1.0502.22.30;Serviços de transporte aquaviário costeiro de carga frigorificada ou climatizada
1.0502.23;Serviços de transporte aquaviário costeiro de cargas em contêineres
1.0502.23.10;Serviços de transporte aquaviário costeiro de cargas em contêineres frigorificados ou climatizados
1.0502.23.20;Serviços de transporte aquaviário costeiro de cargas em contêineres não classificados em subposições anteriores
1.0502.24;Serviços de transporte aquaviário costeiro de cargas especiais
1.0502.24.10;Serviços de transporte aquaviário costeiro de cargas vivas
1.0502.24.20;Serviços de transporte aquaviário costeiro de mudanças domésticas e de mobília e outros objetos de escritório
1.0502.24.30;Serviços de transporte aquaviário costeiro de cargas de grande porte
1.0502.24.40;Serviços de transporte aquaviário costeiro de veículos
1.0502.24.5;Serviços de transporte aquaviário costeiro de produtos perigosos
1.0502.24.51;Serviços de transporte aquaviário costeiro de combustíveis, lubrificantes e GLP, inclusive apresentado em botijões metálicos
1.0502.24.52;Serviços de transporte aquaviário costeiro de produtos químicos perigosos, exceto lubrificantes e GLP
1.0502.24.59;Serviços de transporte aquaviário costeiro de produtos perigosos não classificados em subposições anteriores
1.0502.29.00;Serviços de transportes aquaviário costeiro de cargas não classificados em subposições anteriores
1.0502.3;Serviços de transporte aquaviário transoceânico de cargas
1.0502.31;Serviços de transporte aquaviário transoceânico de cargas a granel
1.0502.31.10;Serviços de transporte aquaviário transoceânico de cargas sólidas a granel
1.0502.31.20;Serviços de transporte aquaviário transoceânico de cargas líquidas, ou liquefeitas, a granel
1.0502.31.30;Serviços de transporte aquaviário transoceânico de cargas gasosas a granel
1.0502.32;Serviços de transporte aquaviário transoceânico de carga geral, exceto em contêineres
1.0502.32.10;Serviços de transporte aquaviário transoceânico de carga solta, não unitizada
1.0502.32.20;Serviços de transporte aquaviário transoceânico de carga unitizada
1.0502.32.30;Serviços de transporte aquaviário transoceânico de carga frigorificada ou climatizada
1.0502.33;Serviços de transporte aquaviário transoceânico de cargas em contêineres
1.0502.33.10;Serviços de transporte aquaviário transoceânico de cargas em contêineres frigorificados ou climatizados
1.0502.33.20;Serviços de transporte aquaviário transoceânico de cargas em contêineres não frigorificados ou climatizados
1.0502.34;Serviços de transporte aquaviário transoceânico de cargas especiais
1.0502.34.10;Serviços de transporte aquaviário transoceânico de cargas vivas
1.0502.34.20;Serviços de transporte aquaviário transoceânico de mudanças domésticas e de mobília e outros objetos de escritório
1.0502.34.30;Serviços de transporte aquaviário transoceânico de cargas de grande porte
1.0502.34.40;Serviços de transporte aquaviário transoceânico de veículos
1.0502.34.5;Serviços de transporte aquaviário transoceânico de produtos perigosos
1.0502.34.51;Serviços de transporte aquaviário transoceânico de combustíveis, lubrificantes e GLP, inclusive apresentado em botijões metálicos
1.0502.34.52;Serviços de transporte aquaviário transoceânico de produtos químicos perigosos, exceto lubrificantes e GLP
1.0502.34.59;Serviços de transporte aquaviário transoceânico de produtos perigosos não classificados em subposições anteriores
1.0502.39.00;Serviços de transporte aquaviário transoceânico de cargas não classificados em subposições anteriores
1.0503;Serviços de transporte aéreo de cargas
1.0503.1;Serviços de transporte aéreo de cargas em contêineres
1.0503.11.00;Serviços de transporte aéreo de cargas em contêineres frigorificados ou climatizados
1.0503.12.00;Serviços de transporte aéreo de cargas em contêineres não frigorificados ou climatizados
1.0503.2;Serviços de transporte aéreo de cargas especiais    
1.0503.21.00;Serviços de transporte aéreo de produtos perigosos
1.0503.22.00;Serviços de transporte aéreo de cargas vivas
1.0503.23.00;Serviços de transporte aéreo de máquinas e veículos
1.0503.24.00;Serviços de transporte aéreo de produtos perecíveis
1.0503.25.00;Serviços de transporte aéreo de cargas frágeis
1.0503.26.00;Serviços de transporte aéreo de cargas controladas
1.0503.27.00;Serviços de transporte aéreo de valores
1.0503.28.00;Serviços de transporte aéreo de cargas postais, remessas expressas e cargas congêneres
1.0503.29.00;Serviços de transporte aéreo de cargas especiais não classificados em subposições anteriores
1.0503.90.00;Serviços de transporte aéreo de cargas não classificados em subposições anteriores
1.0504;Serviços de transporte multimodal de cargas
1.0504.1;Serviços de transporte multimodal de cargas a granel
1.0504.11.00;Serviços de transporte multimodal de cargas sólidas a granel
1.0504.12.00;Serviços de transporte multimodal de cargas líquidas, ou liquefeitas, a granel
1.0504.13.00;Serviços de transporte multimodal de cargas gasosas a granel
1.0504.2;Serviços de transporte multimodal de carga geral, exceto em contêineres
1.0504.21.00;Serviços de transporte multimodal de carga solta, não unitizada
1.0504.22.00;Serviços de transporte multimodal de carga unitizada
1.0504.23.00;Serviços de transporte multimodal de carga frigorificada ou climatizada 
1.0504.3;Serviços de transporte multimodal de cargas em contêineres
1.0504.31.00;Serviços de transporte multimodal de cargas em contêineres frigorificados ou climatizados
1.0504.32.00;Serviços de transporte multimodal de cargas em contêineres não frigorificados ou climatizados
1.0504.4;Serviços de transporte multimodal de cargas especiais
1.0504.41.00;Serviços de transporte multimodal de cargas vivas
1.0504.42.00;Serviços de transporte multimodal de mudanças domésticas e de mobília e outros objetos de escritório
1.0504.43.00;Serviços de transporte multimodal de cargas de grande porte
1.0504.44.00;Serviços de transporte multimodal de veículos
1.0504.45;Serviços de transporte multimodal de produtos perigosos
1.0504.45.10;Serviços de transporte multimodal de combustíveis, lubrificantes e GLP, inclusive apresentado em botijões metálicos
1.0504.45.20;Serviços de transporte multimodal de produtos químicos perigosos, exceto lubrificantes e GLP
1.0504.45.90;Serviços de transporte multimodal de produtos perigosos não classificados em subposições anteriores
1.0504.49.00;Serviços de transporte multimodal de cargas especiais não classificados em subposições anteriores
1.0504.90.00;Serviços de transporte multimodal de cargas não classificados em subposições anteriores
1.0505;Locação de veículos de cargas com operador
1.0505.10.00;Locação de veículos rodoviários de carga com operador 
1.0505.20.00;Locação de embarcações de carga com tripulação 
1.0505.30.00;Locação de aeronaves de carga com tripulação
1.0506.00.00;Afretamento de embarcações de carga por tempo
1.06;Serviços de apoio aos transportes
1.0601;Serviços de manuseio de cargas 
1.0601.10.00;Serviços de manuseio de contêineres 
1.0601.90.00;Serviços de manuseio de cargas não classificados em subposições anteriores 
1.0602;Serviços de armazenagem
1.0602.10.00;Serviços de armazenagem frigorificada 
1.0602.2;Serviços de armazenagem de produtos perigosos 
1.0602.21.00;Serviços de armazenagem de petróleo e seus derivados 
1.0602.22.00;Serviços de armazenagem de combustíveis, lubrificantes e GLP, inclusive apresentado em botijões metálicos 
1.0602.23.00;Serviços de armazenagem de produtos químicos perigosos 
1.0602.29.00;Serviços de armazenagem de produtos perigosos não classificados em subposições anteriores
1.0602.3;Serviços de armazenagem de granéis sólidos, líquidos ou liquefeitos e gasosos 
1.0602.31.00;Serviços de armazenagem de granéis sólidos 
1.0602.32.00;Serviços de armazenagem de granéis líquidos ou liquefeitos 
1.0602.33.00;Serviços de armazenagem de granéis gasosos 
